B001,U001,1/5/2024 10:30,1/12/2024 15:45
B001,U002,1/1/2024 10:30,1/9/2024 15:45
B002,U002,1/8/2024 14:20,1/22/2024 11:10
B003,U003,1/15/2024 9:45,1/26/2024 12:25
B004,U004,1/20/2024 11:10,2/5/2024 9:30
B005,U005,1/25/2024 13:20,2/1/2024 16:55
B006,U006,2/2/2024 8:50,2/16/2024 14:40
B007,U007,2/5/2024 12:15,2/22/2024 10:20
B008,U008,2/10/2024 15:30,2/25/2024 13:25
B009,U009,2/15/2024 9:20,2/29/2024 11:35
B010,U010,2/20/2024 11:40,3/12/2024 16:20
B011,U011,3/3/2024 14:25,3/20/2024 9:50
B012,U012,3/8/2024 10:55,3/29/2024 15:15
B013,U013,3/15/2024 13:40,3/29/2024 12:30
B014,U014,3/20/2024 9:10,4/6/2024 11:55
B015,U015,3/25/2024 12:20,4/3/2024 14:45
B016,U016,4/1/2024 15:05,4/18/2024 9:35
B017,U017,4/5/2024 10:40,4/17/2024 12:20
B018,U018,4/10/2024 13:50,4/30/2024 10:15
B019,U019,4/15/2024 11:30,5/6/2024 13:45
B020,U020,4/20/2024 9:15,5/2/2024 15:10
B021,U021,5/2/2024 12:30,5/21/2024 11:20
B022,U022,5/5/2024 9:40,5/26/2024 14:30
B023,U023,5/10/2024 15:20,5/31/2024 13:55
B024,U024,5/15/2024 10:10,6/1/2024 9:25
B025,U025,5/20/2024 13:35,6/4/2024 11:45
B026,U026,6/1/2024 9:25,6/22/2024 12:10
B027,U027,6/4/2024 11:50,6/25/2024 15:30
B028,U028,6/9/2024 14:15,6/27/2024 10:40
B029,U029,6/14/2024 10:30,7/7/2024 9:20
B030,U030,6/19/2024 12:45,7/7/2024 14:15
B006,U001,7/20/2024 9:25,8/3/2024 12:10
B008,U002,8/4/2024 11:50,8/25/2024 15:30
B010,U003,8/9/2024 14:15,8/27/2024 10:40
B012,U004,8/14/2024 10:30,9/7/2024 9:20
B014,U005,8/19/2024 12:45,9/11/2024 14:15
B016,U006,8/24/2024 15:00,9/17/2024 11:10
B018,U007,8/29/2024 9:55,9/18/2024 13:50
B020,U008,9/1/2024 12:35,9/19/2024 10:30
B022,U009,9/6/2024 14:50,9/23/2024 9:45
B024,U010,9/11/2024 11:25,9/26/2024 15:20
B026,U011,9/16/2024 9:40,10/4/2024 12:30
B028,U012,9/21/2024 13:15,10/8/2024 10:15
B030,U013,9/26/2024 11:30,10/10/2024 13:40
